iter	Passed	Remaining
763	14217	4391
764	14234	4372
765	14252	4353
766	14270	4335
767	14291	4317
768	14310	4298
769	14326	4279
770	14345	4260
771	14363	4241
772	14379	4222
773	14396	4203
774	14415	4185
775	14432	4166
776	14450	4147
777	14467	4128
778	14485	4109
779	14503	4090
780	14520	4071
781	14538	4052
782	14557	4034
783	14575	4015
784	14592	3996
785	14611	3978
786	14629	3959
787	14647	3940
788	14665	3921
789	14684	3903
790	14701	3884
791	14721	3866
792	14741	3848
793	14762	3830
794	14780	3811
795	14802	3793
796	14821	3775
797	14838	3755
798	14856	3737
799	14873	3718
800	14890	3699
801	14906	3680
802	14923	3661
803	14940	3642
804	14958	3623
805	14976	3604
806	14992	3585
807	15011	3567
808	15028	3548
809	15048	3529
810	15069	3511
811	15086	3492
812	15106	3474
813	15123	3455
814	15144	3437
815	15163	3419
816	15185	3401
817	15206	3383
818	15227	3365
819	15246	3346
820	15263	3327
821	15281	3309
822	15298	3290
823	15315	3271
824	15334	3252
825	15350	3233
826	15368	3214
827	15384	3195
828	15404	3177
829	15421	3158
830	15438	3139
831	15455	3120
832	15472	3101
833	15489	3083
834	15507	3064
835	15524	3045
836	15542	3026
837	15561	3008
838	15578	2989
839	15600	2971
840	15617	2952
841	15635	2933
842	15653	2915
843	15670	2896
844	15688	2877
845	15706	2859
846	15724	2840
847	15743	2821
848	15760	2803
849	15777	2784
850	15797	2765
851	15816	2747
852	15836	2729
853	15855	2710
854	15875	2692
855	15894	2673
856	15912	2655
857	15931	2636
858	15951	2618
859	15966	2599
860	15986	2580
861	16006	2562
862	16028	2544
863	16048	2526
864	16068	2507
865	16088	2489
866	16108	2471
867	16130	2453
868	16154	2435
869	16174	2416
870	16197	2398
871	16217	2380
872	16235	2361
873	16255	2343
874	16274	2324
875	16287	2305
876	16297	2285
877	16310	2266
878	16324	2247
879	16338	2228
880	16350	2208
881	16363	2189
882	16377	2170
883	16393	2151
884	16409	2132
885	16425	2113
886	16441	2094
887	16457	2075
888	16471	2056
889	16486	2037
890	16500	2018
891	16514	1999
892	16527	1980
893	16541	1961
894	16555	1942
895	16568	1923
896	16579	1903
897	16593	1884
898	16607	1865
899	16620	1846
900	16634	1827
901	16648	1808
902	16661	1789
903	16676	1770
904	16690	1752
905	16703	1733
906	16713	1713
907	16724	1694
908	16737	1675
909	16751	1656
910	16764	1637
911	16777	1618
